Тип;Название;Широта;Долгота;Номера маршрутов
автобус;Школа №59;64.682915;40.501785;
автобус;Школа №82;64.454018;40.636883;
автобус;Школа №95;64.511834;40.648416;42,5,7У,44,43,64,41,4,15
автобус;Школа №95;64.511622;40.648813;44,7У,64,5,43,42,41,15,4,7
автобус;АОКОД;64.565236;40.551073;
автобус;прз. Бадигина;64.559291;40.553326;76К
автобус;ул. Розинга;64.559729;40.557156;76К
автобус;Детская областная больница;64.536089;40.562907;5,65
автобус;ул. Зеньковича;64.47112;40.608869;15
автобус;пос. Геологов;64.522335;40.707065;
автобус;СОТ Ягодник;64.523237;40.714221;4
автобус;Станция скорой помощи;64.55541;40.564956;
автобус;Станция скорой помощи;64.554359;40.567531;76
автобус;ЖД вокзал;64.550611;40.570862;
