Тип;Название;Широта;Долгота;Номера маршрутов
автобус;Новый поселок;64.490339;40.720348;44,42,64,43,5
автобус;о. Краснофлотский;64.499892;40.638036;15
автобус;о. Краснофлотский;64.499951;40.638569;15
автобус;Областная Больница;64.564027;40.551256;12,88,83,89,81,180,43
автобус;Областная Больница;64.563394;40.550826;12,18
автобус;Орбита;64.540204;40.522825;54,6,41,62,12,11,70,4
автобус;Орбита;64.540013;40.522588;12,54,6,41,62,4,11К
автобус;п. Затон;64.456223;40.64965;3,23,83
автобус;п. Затон;64.456473;40.649135;3,23,83
автобус;п. Зеленец;64.513164;40.431801;31,81
автобус;п. Зеленец;64.513238;40.430621;31,81
автобус;п. Конвейер;64.695107;40.419645;18
автобус;п. Пирсы;64.518565;40.523157;
автобус;п. Пирсы;64.510398;40.530002;31,81
автобус;п. Пирсы;64.51044;40.529369;81,31
автобус;п. Турдеево;64.458513;40.774491;23
автобус;п. Цигломень;64.550109;40.331204;31,81
автобус;п. Экономия;64.700165;40.512847;69,9,89,70,63
автобус;Пенсионный фонд;64.534831;40.599546;
автобус;Переправа;64.646462;40.533049;89,65,9,69,63,70
автобус;Переправа;64.646287;40.532899;69,9,70,63,65
автобус;Петровский парк;64.538774;40.514767;1,60,9,43,44,42,61,6,76К,76
автобус;Петровский парк;64.537981;40.515497;62,43,44,76,60,42,75Б,61,4,41,9,54,1,12,11К
автобус;пл. Дружбы народов;64.545434;40.54882;4,54,6,11К,41
автобус;пл. Дружбы народов;64.545416;40.548557;11,54,4,6,41
автобус;Пл. Дружбы народов;64.544557;40.551014;7,7
автобус;Пл. Дружбы народов;64.543992;40.550124;7
автобус;пл. Павлина Виноградова;64.544373;40.51672;9,6,44,60,76,43,1,42,61,75Б
автобус;пл. Павлина Виноградова;64.543156;40.515904;42,60,43,6,1,44,76К,9,61,76,90
автобус;пл. Предмостная;64.565716;40.535645;69,1,44,60,42,6,61,10,5,9,65,7,43,7У,70,89
автобус;пл. Предмостная;64.565702;40.535034;5,7,60,42,69,10,61,6,44,1,9,70,43,65,7У,89,90
автобус;пл. Терехина;64.577039;40.507665;42,61,7У,6,7,65
автобус;пл. Терехина;64.576892;40.506892;6,7,7У,61,42,65
автобус;По требованию;64.694043;40.508587;69,70,9,89,63
автобус;По требованию;64.693428;40.508137;
автобус;Пожарная часть;64.598977;40.525507;44,9,69,65,70,89,63
автобус;Пожарная часть;64.598812;40.525142;9,44,69,63,65,70,89
автобус;Пожарная часть;64.566328;40.569688;12,180,88
автобус;Пожарная часть;64.568766;40.566716;12,18
автобус;Поликлиника №3;64.677895;40.50539;69,89,9,70,63
автобус;Поликлиника №3;64.678547;40.504746;
автобус;Порт Бакарица;64.483791;40.598795;3,23,83
автобус;Порт Бакарица;64.483361;40.598817;3,23,83,15
автобус;пос. Геологов;64.52244;40.707291;4
автобус;пос. Гидролизного завода;64.64275;40.530281;89,65,9,69,70,63
автобус;пос. Гидролизного завода;64.643402;40.530539;69,65,9,70,63
автобус;пос. Новый;64.489914;40.72163;42,64,43,44
автобус;Почта;64.516391;40.531343;
автобус;Почта;64.516446;40.531139;
автобус;Почтовый тракт;64.49998;40.699024;41
автобус;Почтовый тракт;64.499992;40.69926;
автобус;пр. Ленинградский, 350;64.49762;40.697994;41,42,7У,64,44,5,43
автобус;пр. Новгородский;64.541532;40.530024;54,62,6,41,11К,12,4
автобус;пр. Новгородский;64.541588;40.530088;6,54,11,4,41
автобус;Пр. Новгородский;64.534207;40.5412;7,7
автобус;Пр. Новгородский;64.534226;40.540779;7
автобус;пр. Обводный канал;64.543635;40.540237;6,11К,4,54,41
автобус;пр. Обводный канал;64.54358;40.539787;54,6,4,11,41
автобус;пр. Обводный Канал;64.5352;40.565;3,1,76,11К,7У,62,83,75Б,23,31,81,7
автобус;пр. Обводный Канал;64.536053;40.566056;1,64,7У,76К,31,83,81,15,11,7,76
автобус;пр. Обводный Канал;64.535532;40.566083;5,62,65,64,15
автобус;пр. Обводный Канал;64.535813;40.564656;65,5,75М,75
автобус;пр. Советских Космонавтов;64.55919;40.548595;5,7,10,62,7У,65,69,81,83,70,180,76К
автобус;пр. Советских Космонавтов;64.559057;40.54822;5,62,69,83,76,10,65,75Б,7У,7,81
автобус;Пр.Обводный канал;64.538479;40.545269;7,7
автобус;Пр.Обводный канал;64.537983;40.544427;7
автобус;Пригородная;64.504502;40.580685;3,23,83
автобус;Пригородная;64.504465;40.580685;3,83,23
автобус;Причал;64.532164;40.444676;38
автобус;Проезд Бадигина;64.559813;40.549099;12,81,83,89,180,43,88
автобус;Проспект Советских Космонавтов;64.542427;40.532298;62,12
автобус;р. Лодьма;64.681961;40.724344;180
автобус;р. Лодьма;64.681924;40.724248;
автобус;Развилка на 14 л/з;64.617145;40.525925;44,9,69,65,70,63,89
автобус;Развилка на 14 л/з;64.614997;40.525249;9,44,69,65,70,63
автобус;Развилка на аэропорт;64.601692;40.630907;12
автобус;Развилка на аэропорт;64.601596;40.631711;12
автобус;Развилка на аэропорт;64.602502;40.630049;180
автобус;Развилка на аэропорт;64.602383;40.62978;
автобус;Райсовет;64.47861;40.599536;23,3,83
автобус;Райсовет;64.477597;40.599643;3,23,83,15
автобус;Рембыттехника;64.53877;40.568755;64,11К,7У,1,76,31,81,83,15,7
автобус;Рембыттехника;64.539148;40.569195;64,31,7У,1,76К,15,83,11,81,7,76
автобус;Речной Порт;64.486207;40.736274;42,64,44,43
автобус;Речной Порт;64.486928;40.732905;64,43,42,44
автобус;Роддом им. Самойловой;64.541579;40.569259;81,15,11К,7У,64,1,31,76,83,7
автобус;Роддом им. Самойловой;64.541256;40.569677;7У,1,76К,64,31,15,83,11,81,76,7,90
автобус;Розы Шаниной;64.53365;40.56501;3,81,31,83,23
автобус;САФУ;64.527961;40.54999;44,62,75Б,42,1,4,3,11К,76,61,43,23,41
автобус;СМЗ;64.586841;40.504183;42,7У,65
автобус;СМЗ;64.586893;40.506664;7У,6,42,61,7,65
автобус;"СМЗ ""Красная кузница""";64.570272;40.514907;7У,42,6,61,7,65
автобус;"СМЗ ""Красная кузница""";64.569535;40.516205;6,7У,61,42,7,65
автобус;Смольный Буян;64.534332;40.573014;5,65,62,64,15
автобус;Смольный Буян;64.534379;40.572542;64,62,5,65,15
автобус;СНТ Междуречье;64.678434;40.71781;
автобус;Спортивный центр;64.454413;40.640771;
автобус;СОТ;64.40746;40.632012;
автобус;СОТ;64.407117;40.632033;83
автобус;"СОТ ""Бочага""";64.662518;40.497429;18
автобус;"СОТ ""Бочага""";64.66295;40.496292;
автобус;"СОТ ""Черемушки""";64.497398;40.753344;41
автобус;"СОТ ""Черёмушки""";64.503181;40.719237;41
автобус;"СОТ ""Черёмушки""";64.503072;40.719038;41
автобус;СОТ Волживка;64.649535;40.688617;180
автобус;СОТ Волживка;64.649264;40.68837;180
автобус;СОТ Каркуль;64.640705;40.680914;180
автобус;СОТ Каркуль;64.64054;40.680699;180
автобус;СОТ Лодемка;64.637925;40.678575;180
автобус;СОТ Лодемка;64.637658;40.678339;180
автобус;СОТ Масленица;64.698922;40.635241;
автобус;СОТ Масленица;64.699062;40.634447;180
автобус;СОТ Сосенка;64.655626;40.693831;180
автобус;СОТ Сосенка;64.655313;40.693499;
автобус;СОТ Транспортник;64.668968;40.707479;180
автобус;СОТ Транспортник;64.668666;40.707114;
автобус;Студенческий городок;64.511137;40.678189;44,64,5,42,7У,43,41
автобус;Студенческий городок;64.511442;40.678028;44,64,41
автобус;Такелажная;64.520545;40.625006;5,64,42,7У,43,44,41,4,15
автобус;Такелажная;64.520139;40.625789;5,64,4,42,7У,44,43,41,15
автобус;Театр драмы;64.53656;40.517814;76К,42,54,62,4,9,60,44,61,12,43,1,11,70,41,76,90
автобус;Театр кукол;64.531991;40.531365;54,62,60,41,76,1,4,61,44,43,75Б,42,9,12,11К
автобус;Театр кукол;64.531795;40.53166;44,12,41,11,62,61,60,76К,42,54,4,9,43,1,70,76,90
автобус;Титан-Арена;64.542444;40.534344;54,11К,6,4,41
автобус;"ТК ""На Окружной""";64.557955;40.579559;89,83,88,81
автобус;ТЦ Ильма;64.531398;40.619191;5,64,15
автобус;ТЭЦ;64.57493;40.579505;12,18
автобус;ТЭЦ;64.574759;40.578883;12,18
автобус;У фермы;64.596386;40.545269;10,60,63
автобус;У фермы;64.595999;40.546117;10,60,63
автобус;УГ - 42/1;64.514023;40.529262;
автобус;УГ - 42/1;64.512238;40.527985;
автобус;ул. Адмирала Кузнецова;64.592347;40.520561;60,44,69,10,89,65,70,9
автобус;ул. Адмирала Кузнецова;64.592368;40.520566;60,44,10,5,65,70,9,61
автобус;Ул. Вологодская;64.553382;40.537738;12,62
автобус;ул. Воронина;64.51697;40.665056;64,44,41,43,15
автобус;ул. Воронина;64.516772;40.665867;44,64,4,15,41
автобус;ул. Воронина;64.517406;40.665792;4,41
автобус;ул. Воскресенская;64.549425;40.560424;7,62,69,10,7У,81,83
автобус;Ул. Тимме-Воскресенская;64.543654;40.536107;5,75М,65,75
автобус;Ул. Тимме-Воскресенская;64.544027;40.536118;5,65,75Б
автобус;ул. Тимме-Воскресенская;64.539888;40.524342;75М,65,75
автобус;Ул. Выучейского;64.539531;40.544658;5,75М,65
автобус;Ул. Выучейского;64.540389;40.54234;5,65,75Б
автобус;ул. Выучейского;64.533641;40.53921;75М,65,75
автобус;Ул. Вычегодская;64.454534;40.642569;3,83,23
автобус;Ул. Вычегодская;64.454506;40.642397;3,83,23
автобус;Ул. Гагарина;64.559637;40.548479;12
автобус;ул. Гайдара;64.552967;40.52129;44,61,9,43,60,76,6,42,75Б,1
автобус;ул. Гайдара;64.553475;40.521408;42,76К,9,60,44,6,61,43,1
автобус;ул. Гайдара;64.552184;40.526483;62,75М,70,12,65,75
автобус;Ул. Гайдара;64.550796;40.540001;5,75М,65
автобус;Ул. Гайдара;64.551695;40.540602;5,65,75Б
автобус;ул. Галушина;64.523656;40.61078;42,64,7У,44,5,43,41,4,15
автобус;ул. Галушина;64.524209;40.608988;7У,42,43,44,41,4,61
автобус;ул. Галушина;64.534162;40.622501;61,62,65,90
автобус;ул. Галушина;64.52422;40.610758;61,5,64,15,65,90
автобус;ул. Дачная;64.509341;40.658287;43,5,42,7У
автобус;ул. Дачная;64.510733;40.657992;44,64,41,15
автобус;Ул. Дежневцев;64.492862;40.596462;3,23,83
автобус;Ул. Дежневцев;64.492455;40.596757;3,83,23
автобус;Ул. Добролюбова;64.591465;40.578389;63,10,60
автобус;Ул. Доковская;64.466875;40.629566;3,83,23
автобус;Ул. Доковская;64.467125;40.62801;23,3,83
автобус;Ул. Дрейера;64.515537;40.56029;3,23,83
автобус;Ул. Дрейера;64.514747;40.562081;
автобус;ул. Зеньковича;64.468242;40.615543;23,3,15,83
автобус;ул. Ильинская;64.527352;40.578743;61,43,44,42,7У,41,4,65,90
автобус;ул. Ильинская;64.527144;40.582316;42,4,61,7У,44,43,41,7
автобус;Ул. Ильича;64.595521;40.572832;10,60,63
автобус;Ул. Ильича;64.595047;40.574645;10,60,63
автобус;ул. Кедрова;64.587479;40.512289;10,60,43,44,1,69,65,70,89,9
автобус;ул. Кедрова;64.586636;40.51245;10,69,44,60,70,65,89,9
автобус;ул. Кедрова;64.587239;40.511532;6,7У,42,61,7
автобус;ул. Кедрова;64.587259;40.52258;5,9,61
автобус;ул. Коммунальная;64.527878;40.569323;44,42,4,61,41
автобус;ул. Комсомольская;64.562872;40.531322;9,60,6,44,42,61,43,76К,1,76,90
автобус;ул. Комсомольская;64.562407;40.530292;76,6,1,60,61,44,9,43,42,75Б
автобус;Ул. Комсомольская;64.560149;40.534165;62,12,70,75М,65,75
