Название;Широта;Долгота;Номера маршрутов
ЖБИ;64.579503;40.590631;12,18
ЖБИ;64.579471;40.590513;12,18
ЖД вокзал;64.550291;40.57288;64,62,4,6,76К,83,1,41,69,180,15,54,7,10,
ЖД вокзал;64.550492;40.570906;54,76,70,7,180
Заостровье;64.51122;40.497762;31,81
Заостровье;64.511257;40.497258;81,31
Затон;64.636169;40.53144;70,9,89,69,65,63
Затон;64.635434;40.531762;65,9,69,89,70,63
Исакогорка;64.434697;40.612721;3,23,83
Исакогорка;64.434437;40.612624;3,23,83
Кардинал;64.66605;40.525713;9,69,70,63,89
Кардинал;64.66543;40.527252;69,9,89
Карла Маркса;64.543967;40.522106;12,62,70,75М,65
Катунино;64.392236;40.627162;83
Кемский поселок;64.579908;40.52415;9,5,61
Кемский поселок;64.579828;40.523763;5,9,61
"Кинотеатр ""Русь""";64.543506;40.567178;64,7У,11К,83,76,81,1,31,15,7
"Кинотеатр ""Русь""";64.544078;40.566545;7У,76К,64,81,1,31,11,15,83,7,76,90
Кирпичный завод;64.546524;40.336759;31,81
Кирпичный завод;64.546715;40.336974;81
кладбище Жаровихинское;64.488943;40.746595;44,42
Контора;64.596437;40.567478;10,60,63
Контора;64.596902;40.56471;60,10,63
КПП;64.399909;40.6286;
КПП;64.397443;40.626208;83
Краснофлотский мост;64.509304;40.658083;5,64,7У,41,42,44,4,43
Красных партизан;64.584168;40.523629;9,5,61
Красных партизан;64.584237;40.523597;9,5
ЛДК №3;64.688227;40.500627;69,63,9,89,70
ЛДК №3;64.688704;40.500584;
ЛДК-4;64.48887;40.598072;3,23,83,15
ЛДК-4;64.488462;40.598111;3,15,23,83
Левый берег;64.514203;40.553445;31,81
Левый берег;64.51411;40.553278;31,81
Ленинградский проспект д.350;64.498017;40.696782;64,44,43,42,5,41
Лесная речка;64.420804;40.62993;23,3
Лесная речка;64.419628;40.630928;3,23,83
Лесобаза;64.4531;40.62256;3,23,83
Лесобаза;64.453109;40.622216;3,23,83
Лесозавод № 14;64.616064;40.496978;44
Лесозавод № 14;64.616073;40.496947;44
Лесозавод № 22;64.648175;40.52541;65
Лесозавод №13;64.60942;40.499677;44
Лесозавод №2;64.494308;40.709324;42,43,64,44,5
Лесозавод №2;64.494455;40.708605;44,42,5,64,43
Лесозавод №21;64.623891;40.526912;9,69,65,70,63,89
Лесозавод №21;64.623785;40.526633;70,9,89,69,65,63
Лесозавод №22;64.650761;40.538359;9,69,89,70,63
Лесозавод №22;64.650031;40.537759;69,9,70,89,63
Лесозавод №23;64.645741;40.507632;18
Лесозавод №23;64.645961;40.507804;18
Лесозавод №24;64.676211;40.486926;18
Лесозавод №24;64.676578;40.486797;
Лесозавод №25;64.661058;40.534852;69,9,89,70,63
Лесозавод №25;64.661628;40.534015;69,9,63
Лесозавод №27;64.672113;40.510776;69,89,9,63,70
Лесозавод №27;64.671681;40.51142;69,70,9
Лесозавод №29;64.704227;40.616305;180
Лесозавод №3;64.515001;40.639179;44,43,64,5,4,42,7У,15,41,7
Лесозавод №3;64.514604;40.639704;44,42,64,43,7У,5,41,15,4,7
Лисестрово;64.465714;40.640241;3,23,83
Лисестрово;64.465557;40.640552;3,23,83
Ломоносовский ДК;64.508108;40.664531;5,42,64,43,7У,44,41,7
"м-н ""Северный""";64.562347;40.541772;7,75Б,5,69,76,10,7У,65,89,83,43,88,81,180
Мастерская;64.518357;40.671129;41,4
Мастерская;64.518348;40.671054;4,41
Медтехника;64.547435;40.562704;11К,7У,1,64,81,83,15,76,7
Медтехника;64.547762;40.562371;11,64,1,15,81,90
МЛП;64.614243;40.485574;18
Московский проспект;64.532081;40.620114;61,62,65,90
Московский проспект;64.532326;40.620296;
Московский проспект;64.532067;40.619266;64,5,15
Мостовая;64.598126;40.529079;60,63,10
Мостовая;64.598264;40.527148;60,10,63
Мостотряд;64.509844;40.575374;23,3,83
Мостотряд;64.50947;40.57605;3,83,23
МР вокзал;64.529717;40.540007;62,44,76,41,42,61,11К,43,75Б,1,70,4
МР вокзал;64.529105;40.542485;54,44,3,76К,42,60,9,4,1,61,43,62,12,7,41,11,23,,76
Мясокомбинат;64.520494;40.684819;4
Мясокомбинат;64.520439;40.684422;4
наб. Северной Двины;64.526369;40.557913;42,61,44,4,41
Нефтебаза;64.623808;40.666237;180
Нефтебаза;64.62356;40.66599;
Нижний городок п. Лесная речка;64.415291;40.634158;3,23
Новая деревня;64.541403;40.399776;38
Новый поселок;64.490339;40.720348;44,42,64,43,5
о. Краснофлотский;64.499892;40.638036;15
о. Краснофлотский;64.499951;40.638569;15
Областная Больница;64.564027;40.551256;12,88,83,89,81,180,43
Областная Больница;64.563394;40.550826;12,18
Орбита;64.540204;40.522825;54,6,41,62,12,11,70,4
Орбита;64.540013;40.522588;12,54,6,41,62,4,11К
п. Затон;64.456223;40.64965;3,23,83
п. Затон;64.456473;40.649135;3,23,83
п. Зеленец;64.513164;40.431801;31,81
п. Зеленец;64.513238;40.430621;31,81
п. Конвейер;64.695107;40.419645;18
п. Пирсы;64.518565;40.523157;
п. Пирсы;64.510398;40.530002;31,81
п. Пирсы;64.51044;40.529369;81,31
п. Турдеево;64.458513;40.774491;23
п. Цигломень;64.550109;40.331204;31,81
п. Экономия;64.700165;40.512847;69,9,89,70,63
Пенсионный фонд;64.534831;40.599546;
Переправа;64.646462;40.533049;89,65,9,69,63,70
Переправа;64.646287;40.532899;69,9,70,63,65
